q_min,q_max,score_min,score_max,MAE,RMSE,median_abs_error,within_1_ratio,within_2_ratio
0.01,0.85,-6,5,0.776,1.036,0.73,0.661,0.952
0.03,0.85,-4,5,0.79,1.06,0.78,0.682,0.943
0.05,0.85,-3,5,0.82,1.123,0.5,0.738,0.95
0.07,0.85,-3,5,0.82,1.123,0.5,0.738,0.95
0.01,0.88,-6,6,0.855,1.076,0.67,0.697,0.972
0.01,0.9,-6,6,0.855,1.076,0.67,0.697,0.972
0.1,0.85,-2,5,0.898,1.238,0.71,0.592,0.887
0.03,0.88,-4,6,0.904,1.146,0.8,0.599,0.95
0.03,0.9,-4,6,0.904,1.146,0.8,0.599,0.95
0.01,0.92,-6,6.52,0.906,1.107,0.81,0.57,0.948
0.01,0.95,-6,7,0.95,1.141,0.92,0.57,0.948
0.05,0.88,-3,6,0.961,1.232,0.89,0.592,0.887
0.05,0.9,-3,6,0.961,1.232,0.89,0.592,0.887
0.07,0.88,-3,6,0.961,1.232,0.89,0.592,0.887
0.07,0.9,-3,6,0.961,1.232,0.89,0.592,0.887
0.03,0.92,-4,6.52,0.968,1.199,0.96,0.57,0.898
0.03,0.95,-4,7,1.023,1.248,1.09,0.488,0.9
0.05,0.92,-3,6.52,1.033,1.293,1,0.509,0.889
0.07,0.92,-3,6.52,1.033,1.293,1,0.509,0.889
0.01,0.97,-6,8,1.042,1.22,1.14,0.499,0.957
0.1,0.9,-2,6,1.048,1.363,1,0.619,0.895
0.1,0.88,-2,6,1.048,1.363,1,0.619,0.895
0.05,0.95,-3,7,1.094,1.349,1,0.512,0.895
0.07,0.95,-3,7,1.094,1.349,1,0.512,0.895
0.1,0.92,-2,6.52,1.127,1.428,1.06,0.492,0.808
0.03,0.97,-4,8,1.137,1.355,1,0.53,0.906
0.1,0.95,-2,7,1.194,1.489,1.11,0.492,0.808
0.07,0.97,-3,8,1.218,1.464,1.09,0.414,0.827
0.05,0.97,-3,8,1.218,1.464,1.09,0.414,0.827
0.01,0.99,-6,11,1.299,1.467,1.35,0.355,0.838
0.1,0.97,-2,8,1.323,1.608,1.2,0.417,0.81
0.03,0.99,-4,11,1.428,1.642,1.6,0.324,0.727
0.07,0.99,-3,11,1.518,1.76,1.71,0.329,0.71
0.05,0.99,-3,11,1.518,1.76,1.71,0.329,0.71
0.1,0.99,-2,11,1.628,1.902,1.85,0.298,0.593
