feature,importance
review_length,0.23469532610637112
menu_count,0.11302348830410322
sentence_count,0.058663641033323624
has_menu,0.05819125466931839
account_review_count,0.04545742038891092
mixed_opinion_review,0.04424967284180895
experience_context_count,0.03963807795421759
short_but_specific_food_review,0.03634007358029045
category_count,0.029410181550275562
short_generic_review,0.027771683385459572
positive_narrative,0.021142465384008966
generic_count,0.020778491033673654
specific_review,0.01743122219808824
has_detailed_negative,0.017096037840245056
has_experience_context,0.014520149447605686
sensory_detail_count,0.014488685596887025
detailed_negative_narrative,0.01427882573403475
temporal_context_count,0.012997105175273898
multi_sentence_review,0.01272642729996239
has_sensory_detail,0.01248889236310475
mixed_opinion_count,0.01088999546310219
waiting_popularity_count,0.01086485931556626
has_mixed_opinion,0.009510518943037262
quality_detail_count,0.009277505725680481
strong_generic_praise,0.009011650022910869
number_detail_count,0.008368208989413954
account_review_count_over_50,0.0081090846663415
has_waiting_popularity,0.008036284519843874
temporal_experience_review,0.007562783762711576
account_review_count_over_100,0.007539149366445758
has_number_detail,0.00703909683797962
account_review_count_under_10,0.006023938307027407
has_temporal_context,0.00599434757094024
visit_count,0.0059310648152416795
has_quality_detail,0.00592116041367138
enthusiastic_but_detailed,0.005200607613476321
has_generic_praise,0.004612428105907578
has_photo,0.004599945634265495
first_visit,0.003845548246232496
revisit,0.0038215787415306016
low_information_review,0.002585067928666363
strong_sensory_detail,0.002487876492714139
strong_quality_detail,0.00230458333781843
account_review_count_under_5,0.002123742212567874
popularity_only_review,0.0014420262064631243
generic_without_detail,0.0006746887745044744
account_review_count_is_1,0.0006273834085882431
menu_price_listing_only,0.00020575269038687413
account_avg_rating,0.0
rating,0.0
